Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador, A,
3,1,21/11/2022 13:00,Khalifa International Stadium,England,Iran, B,
2,1,21/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands, A,
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,Wales, B,
8,1,22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia, C,
6,1,22/11/2022 13:00,Education City Stadium,Denmark,Tunisia, D,
7,1,22/11/2022 16:00,Stadium 974,Mexico,Poland, C,
5,1,22/11/2022 19:00,Al Janoub Stadium,France,Australia, D,
12,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia, F,
11,1,23/11/2022 13:00,Khalifa International Stadium,Germany,Japan, E,
10,1,23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica, E,
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada, F,
13,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon, G,
14,1,24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic, H,
15,1,24/11/2022 16:00,Stadium 974,Portugal,Ghana, H,
16,1,24/11/2022 19:00,Lusail Stadium,Brazil,Serbia, G,
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran, B,
18,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal, A,
19,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador, A,
20,2,25/11/2022 19:00,Al Bayt Stadium,England,USA, B,
21,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia, D,
22,2,26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia, C,
23,2,26/11/2022 16:00,Stadium 974,France,Denmark, D,
24,2,26/11/2022 19:00,Lusail Stadium,Argentina,Mexico, C,
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica, E,
26,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco, F,
27,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada, F,
28,2,27/11/2022 19:00,Al Bayt Stadium,Spain,Germany, E,
29,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia, G,
30,2,28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana, H,
31,2,28/11/2022 16:00,Stadium 974,Brazil,Switzerland, G,
32,2,28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay, H,
35,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal, A,
36,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar, A,
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England, B,
34,3,29/11/2022 19:00,Al Thumama Stadium,Iran,USA, B,
37,3,30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark, D,
38,3,30/11/2022 15:00,Education City Stadium,Tunisia,France, D,
39,3,30/11/2022 19:00,Stadium 974,Poland,Argentina, C,
40,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico, C,
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium, F,
42,3,01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco, F,
43,3,01/12/2022 19:00,Khalifa International Stadium,Japan,Spain, E,
44,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany, E,
45,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay, H,
46,3,02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal, H,
47,3,02/12/2022 19:00,Stadium 974,Serbia,Switzerland, G,
48,3,02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil, G,
49,Round of 16,03/12/2022 15:00,TBA,1A,2B,,
50,Round of 16,03/12/2022 19:00,TBA,1C,2D,,
52,Round of 16,04/12/2022 15:00,TBA,1D,2C,,
51,Round of 16,04/12/2022 19:00,TBA,1B,2A,,
53,Round of 16,05/12/2022 15:00,TBA,1E,2F,,
54,Round of 16,05/12/2022 19:00,TBA,1G,2H,,
55,Round of 16,06/12/2022 15:00,TBA,1F,2E,,
56,Round of 16,06/12/2022 19:00,TBA,1H,2G,,
58,Quarter Finals,09/12/2022 15:00,TBA,To be announced,To be announced,,
57,Quarter Finals,09/12/2022 19:00,TBA,To be announced,To be announced,,
60,Quarter Finals,10/12/2022 15:00,TBA,To be announced,To be announced,,
59,Quarter Finals,10/12/2022 19:00,TBA,To be announced,To be announced,,
61,Semi Finals,13/12/2022 19:00,TBA,To be announced,To be announced,,
62,Semi Finals,14/12/2022 19:00,TBA,To be announced,To be announced,,
63,Finals,17/12/2022 15:00,TBA,To be announced,To be announced,,
64,Finals,18/12/2022 15:00,TBA,To be announced,To be announced,,